LarvID,Diet,Sex,FamLine,HatchDate,Ins2,Ins3,Ins4,Ins5,PupDate,EcloseDate,Infection,Dead,
2,N,M,1,18-Sep,20-Sep,24-Sep,26-Sep,27-Sep,3-Oct,12-Oct,I,NA,
4,N,M,1,19-Sep,22-Sep,25-Sep,26-Sep,27-Sep,5-Oct,14-Oct,I,NA,
6,N,NA,1,22-Sep,24-Sep,27-Sep,29-Sep,NA,NA,NA,NA,1-Oct,
7,N,M,1,19-Sep,22-Sep,24-Sep,26-Sep,27-Sep,3-Oct,13-Oct,I,NA,
8,N,NA,1,19-Sep,22-Sep,24-Sep,26-Sep,28-Sep,5-Oct,NA,NA,unknown,
10,N,M,1,18-Sep,22-Sep,24-Sep,26-Sep,28-Sep,4-Oct,13-Oct,I,NA,
15,N,F,1,18-Sep,22-Sep,24-Sep,26-Sep,28-Sep,3-Oct,13-Oct,I,NA,
17,N,F,1,19-Sep,22-Sep,25-Sep,27-Sep,29-Sep,4-Oct,13-Oct,U,NA,
18,N,F,1,18-Sep,21-Sep,26-Sep,28-Sep,30-Sep,5-Oct,13-Oct,U,NA,
22,N,M,1,18-Sep,22-Sep,24-Sep,26-Sep,28-Sep,1-Oct,11-Oct,I,NA,
26,N,F,1,18-Sep,22-Sep,24-Sep,26-Sep,28-Sep,3-Oct,11-Oct,I,NA,
29,N,F,1,19-Sep,22-Sep,25-Sep,28-Sep,29-Sep,5-Oct,14-Oct,U,NA,
30,N,M,1,19-Sep,22-Sep,25-Sep,26-Sep,28-Sep,5-Oct,14-Oct,U,NA,
32,N,M,1,18-Sep,20-Sep,24-Sep,26-Sep,29-Sep,5-Oct,15-Oct,U,NA,
36,N,F,1,18-Sep,22-Sep,24-Sep,25-Sep,26-Sep,2-Oct,11-Oct,U,NA,
40,N,NA,1,23-Sep,24-Sep,28-Sep,29-Sep,30-Sep,NA,NA,NA,6-Oct,
41,N,M,1,18-Sep,20-Sep,25-Sep,27-Sep,28-Sep,5-Oct,14-Oct,U,NA,
42,N,F,1,18-Sep,22-Sep,26-Sep,,29-Sep,5-Oct,14-Oct,I,NA,
44,N,M,1,19-Sep,22-Sep,25-Sep,26-Sep,29-Sep,5-Oct,15-Oct,U,NA,
46,N,NA,1,18-Sep,20-Sep,24-Sep,26-Sep,28-Sep,4-Oct,NA,NA,17-Oct,never eclosed
47,N,NA,1,19-Sep,22-Sep,24-Sep,26-Sep,28-Sep,4-Oct,NA,NA,6-Oct,
48,N,M,1,18-Sep,22-Sep,24-Sep,26-Sep,29-Sep,4-Oct,13-Oct,I,NA,
49,N,F,1,18-Sep,21-Sep,24-Sep,25-Sep,26-Sep,2-Oct,11-Oct,,NA,
50,N,F,1,22-Sep,24-Sep,27-Sep,28-Sep,29-Sep,5-Oct,14-Oct,I,NA,
51,N,F,1,18-Sep,21-Sep,24-Sep,,26-Sep,3-Oct,12-Oct,U,NA,
53,N,F,1,19-Sep,22-Sep,24-Sep,27-Sep,28-Sep,4-Oct,12-Oct,I,NA,
56,N,F,1,18-Sep,22-Sep,24-Sep,26-Sep,27-Sep,6-Oct,12-Oct,I,NA,
60,N,M,1,18-Sep,21-Sep,24-Sep,26-Sep,27-Sep,6-Oct,13-Oct,U,NA,
64,N,F,1,18-Sep,22-Sep,24-Sep,26-Sep,27-Sep,3-Oct,12-Oct,I,NA,
65,N,M,1,19-Sep,20-Sep,25-Sep,27-Sep,28-Sep,5-Oct,15-Oct,I,NA,
71,T,F,1,19-Sep,22-Sep,24-Sep,26-Sep,28-Sep,3-Oct,11-Oct,U,NA,
76,T,NA,1,19-Sep,22-Sep,24-Sep,26-Sep,29-Sep,NA,NA,NA,3-Oct,
78,T,F,1,18-Sep,20-Sep,22-Sep,24-Sep,25-Sep,30-Sep,9-Oct,U,NA,
80,T,M,1,19-Sep,22-Sep,24-Sep,26-Sep,29-Sep,3-Oct,13-Oct,I,NA,
85,T,NA,1,19-Sep,22-Sep,26-Sep,28-Sep,NA,NA,NA,NA,30-Sep,
86,T,M,1,19-Sep,25-Sep,28-Sep,29-Sep,1-Oct,5-Oct,14-Oct,I,NA,
89,T,M,1,18-Sep,,22-Sep,24-Sep,25-Sep,29-Sep,9-Oct,U,NA,
91,T,F,1,19-Sep,25-Sep,27-Sep,29-Sep,1-Oct,5-Oct,13-Oct,U,NA,
94,T,M,1,19-Sep,22-Sep,24-Sep,26-Sep,28-Sep,1-Oct,10-Oct,U,NA,
95,T,NA,1,19-Sep,22-Sep,25-Sep,NA,NA,NA,NA,NA,30-Sep,
96,T,F,1,18-Sep,20-Sep,24-Sep,26-Sep,27-Sep,1-Oct,11-Oct,I,NA,
98,T,F,1,20-Sep,22-Sep,27-Sep,28-Sep,29-Sep,,13-Oct,U,NA,
100,T,M,1,19-Sep,24-Sep,26-Sep,28-Sep,NA,NA,NA,NA,30-Sep,
102,T,M,1,19-Sep,23-Sep,26-Sep,28-Sep,29-Sep,5-Oct,13-Oct,U,NA,
103,T,F,1,19-Sep,20-Sep,25-Sep,26-Sep,28-Sep,2-Oct,10-Oct,I,NA,
107,T,F,1,19-Sep,20-Sep,22-Sep,26-Sep,29-Sep,3-Oct,12-Oct,U,NA,
110,T,NA,1,18-Sep,20-Sep,NA,NA,NA,NA,NA,NA,24-Sep,
112,T,F,1,18-Sep,22-Sep,25-Sep,27-Sep,30-Sep,3-Oct,12-Oct,U,NA,
115,T,M,1,18-Sep,21-Sep,24-Sep,26-Sep,27-Sep,2-Oct,11-Oct,U,NA,
118,T,F,1,18-Sep,22-Sep,24-Sep,25-Sep,26-Sep,1-Oct,9-Oct,U,NA,
124,T,M,1,18-Sep,20-Sep,22-Sep,24-Sep,26-Sep,29-Sep,9-Oct,U,NA,
125,T,M,1,19-Sep,20-Sep,24-Sep,,26-Sep,1-Oct,11-Oct,I,NA,
128,T,M,1,19-Sep,20-Sep,25-Sep,27-Sep,28-Sep,6-Oct,14-Oct,I,NA,
130,T,NA,1,19-Sep,22-Sep,25-Sep,28-Sep,29-Sep,NA,NA,NA,30-Sep,
131,T,F,1,18-Sep,20-Sep,23-Sep,25-Sep,28-Sep,3-Oct,12-Oct,U,NA,
133,T,M,1,18-Sep,20-Sep,25-Sep,26-Sep,27-Sep,3-Oct,12-Oct,I,NA,
134,T,NA,1,19-Sep,20-Sep,25-Sep,27-Sep,29-Sep,NA,NA,NA,2-Oct,
135,T,F,1,18-Sep,22-Sep,26-Sep,28-Sep,29-Sep,4-Oct,13-Oct,U,NA,
136,T,NA,1,19-Sep,22-Sep,25-Sep,26-Sep,30-Sep,3-Oct,NA,NA,17-Oct,never eclosed